ID_TEAM,EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA,CREATED_AT
ffd4f42a,Nottingham Forest,0,0,0,0,0,0,0,0,INGLATERRA,07-07-2024
ffd4f425,Southampton,0,0,0,0,0,0,0,0,INGLATERRA,07-07-2024
ffd4f41a,Tottenham Hotspur,0,0,0,0,0,0,0,0,INGLATERRA,07-07-2024
ffd4f429,West Ham United,0,0,0,0,0,0,0,0,INGLATERRA,07-07-2024
ffd4f428,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,INGLATERRA,07-07-2024
ffd4f42d,Atalanta,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f43b,Bolonia,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f439,Empoli,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f435,Fiorentina,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f43c,Hellas Verona,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f432,Internazionale,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f433,Juventus,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f42f,Lazio,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f43a,Lecce,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f430,AC Milan,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f43d,Monza,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f42c,Napoli,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f431,AS Roma,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f434,Torino,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f42e,Udinese,0,0,0,0,0,0,0,0,ITALIA,07-07-2024
ffd4f44d,Angers,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f44f,AJ Auxerre,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f452,Brest,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f443,Lens,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f446,LLille,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f445,NLyon,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f441,Marseille,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f444,AS Mónaco,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f448,Montpellier,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f44e,Nantes,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f44c,ENice,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f440,Paris Saint-Germain,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f450,MStade de Reims,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f447,Stade Rennais,0,0,0,0,0,0,0,0,FRANCIA,07-07-2024
ffd4f45b,Sporting CP,34,29,3,2,96,29,67,90,PORTUGAL,07-07-2024
ffd4f454,Benfica,34,25,5,4,77,28,49,80,PORTUGAL,07-07-2024
ffd4f456,FC Porto,34,22,6,6,63,27,36,72,PORTUGAL,07-07-2024
ffd4f455,GBraga,34,21,5,8,71,50,21,68,PORTUGAL,07-07-2024
ffd4f45c,Guimaraes,34,19,6,9,52,38,14,63,PORTUGAL,07-07-2024
ffd4f45f,Arouca,34,13,7,14,54,50,4,46,PORTUGAL,07-07-2024
ffd4f463,FC Famalicao,34,10,12,12,37,41,-4,42,PORTUGAL,07-07-2024
ffd4f459,Casa Pia,34,10,8,16,38,50,-12,38,PORTUGAL,07-07-2024
ffd4f460,Rio Ave,34,6,19,9,38,43,-5,37,PORTUGAL,07-07-2024
ffd4f45d,CGil Vicente,34,9,9,16,42,52,-10,36,PORTUGAL,07-07-2024
ffd4f45a,Estoril,34,9,6,19,49,58,-9,33,PORTUGAL,07-07-2024
ffd4f458,Boavista,34,7,11,16,39,62,-23,32,PORTUGAL,07-07-2024
ffd4f457,OPortimonense,34,8,8,18,39,72,-33,32,PORTUGAL,07-07-2024
ffd4f462,Vizela,34,5,11,18,36,66,-30,26,PORTUGAL,07-07-2024
ffd4f45e,GD Chaves,34,5,8,21,31,72,-41,23,PORTUGAL,07-07-2024
ffd4f468,Z Alkmaar,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f467,XAjax Amsterdam,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f471,FC Groningen,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f46a,FC Twente,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f46e,FC Utrecht,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f469,Feyenoord Rotterdam,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f475,tunaFortuna Sittard,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f472,AheadGo Ahead Eagles,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f470,NEC Nijmegen,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f466,PSV Eindhoven,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f46d,RKC Waalwijk,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f46c,RotterdamSparta Rotterdam,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
ffd4f46b,Heerenveen,0,0,0,0,0,0,0,0,HOLANDA,07-07-2024
